глава,тип,общий вопрос/тема,ответ/объяснение
Предисловие,Цель стандарта,"Какова цель стандарта №14 ""Документарный аккредитив""?",Определить документарные аккредитивыих характеристикиа также правила и положения Шариатачтобы облегчить операции с ними для исламских финансовых учреждений.
SS(14) - 1,Область применения стандарта,На что распространяется стандарт о документарных аккредитивах?,На документарные аккредитивыпредоставляемые Учреждением по поручению клиента или для собственного использованиявключая все типыформыэтапы исполнения и отношения между сторонами.
SS(14) - 2/1,Определение,Что такое документарный аккредитив?,Письменное обязательство банка (эмитента)выданное продавцу (бенефициару) по поручению покупателяоб уплате определенной суммы в течение установленного срока при условии предоставления продавцом документовсоответствующих инструкциям.
SS(14) - 2/2/1,Процедурный этап,Какой первый этап в процессе документарного аккредитива?,Этап заключения контракта (обычно купли-продажи)на котором продавец оговариваетчто оплата будет произведена через документарный аккредитив.
SS(14) - 2/2/2,Процедурный этап,Что происходит на этапе запроса на открытие аккредитива?,Покупатель обращается в банк с просьбой открыть аккредитивчтобы продавец мог быть уведомлен.
SS(14) - 2/2/3,Процедурный этап,Что происходит на этапе выпуска аккредитива?,Банк выпускает и направляет аккредитивное письмо покупателю напрямую или через банк-посредник.
SS(14) - 2/2/4,Процедурный этап,Что происходит на этапе исполнения аккредитива?,Бенефициар представляет документы в банк. Банк проверяет их соответствие условиям. В случае соответствиябанк исполняет аккредитив и передает документы покупателю после получения оплаты или обязательства об оплате.
SS(14) - 2/3/1,Классификация,Какие существуют основные типы аккредитивов по силе обязательства?,Отзывный аккредитив (может быть изменен или аннулирован без согласия бенефициара) и безотзывный аккредитив (не может быть изменен или аннулирован без согласия сторон).
SS(14) - 2/3/3,Классификация,Что такое переводной (трансферабельный) аккредитив?,Аккредитивдающий право бенефициару просить исполняющий банк сделать аккредитив доступнымчастично или полностьюдля другого бенефициара (или бенефициаров).
SS(14) - 2/3/3,Классификация,Что такое компенсационный (back-to-back) аккредитив?,Аккредитиввыпущенный под гарантию другого аккредитива.
SS(14) - 2/3/3,Классификация,Что такое револьверный (возобновляемый) аккредитив?,Аккредитивпозволяющий бенефициару многократно представлять новые документы для новых операций в пределах лимита и срока действия аккредитива.
SS(14) - 2/3/3,Классификация,"Что такое аккредитив с """"красной оговоркой"""" (red clause credit)?",Аккредитивпозволяющий банку выплатить определенный процент от суммы до предоставления документовпод обязательство бенефициара вернуть авансесли товар не будет отгружен.
SS(14) - 2/3/3,Классификация,Что такое синдицированный аккредитив?,Аккредитивв котором участвуют несколько банков из-за большой суммыпри этом каждый банк предоставляет гарантийное письмо ведущему банку на свою долю участия.
SS(14) - 2/3/3,Классификация,Что такое резервный (standby) аккредитив?,Аккредитивсхожий с гарантийным письмомв котором платеж обусловлен неисполнением обязательств бенефициаром (в данном случае подрядчиком).
SS(14) - 2/4/1,Характеристика,На чем основываются операции по документарному аккредитиву?,Операции проводятся исключительно на основе документовбез ссылки на товары. Банк обязан исполнить аккредитив при предоставлении соответствующих документов.
SS(14) - 2/4/2,Характеристика,Является ли открытие аккредитива покупателем окончательным платежом?,Нетэто не считается окончательным платежом. Покупатель несет ответственность за оплату до тех порпока банк не оплатит стоимость документов.
SS(14) - 2/4/3,Характеристика,Когда банк обязан произвести платеж по аккредитиву?,Банк обязан заплатить бенефициарукогда тот представляет документысоответствующие инструкциямза исключением случаев мошенничестваподделки документов или судебного решения о недействительности договора купли-продажи.
SS(14) - 3/1/1,Постановление Шариата,Дозволены ли операции с документарными аккредитивами по Шариату?,Дадозволенытак как они включают в себя разрешенные контрактытакие как агентский договор (вакала) и гарантия (кафала)при соблюдении установленных стандартом условий.
SS(14) - 3/1/2,Постановление Шариата,Разрешено ли исламскому учреждению открывать,выпускать и подтверждать аккредитивы?Даразрешено открыватьвыпускать и подтверждать все типы аккредитивов по поручению клиента или для себяа также выступать посредникомпри условии соблюдения пункта 3/1/3.
SS(14) - 3/1/3,Постановление Шариата (Запрет),В каких случаях операции с документарными аккредитивами запрещены?,Запрещеноесли аккредитив относится к товарамзапрещенным Шариатомоснован на недействительном договоре или включает в себя проценты (риба)явно или неявно.
SS(14) - 3/1/3,Условие (Шариат),Какое основное шариатское условие для действительности документарного аккредитива?,Договорна котором основан аккредитивдолжен быть действительным по Шариату в отношении его элементовусловий и типа сделки.
SS(14) - 3/2/1,Постановление Шариата,Может ли продавец требовать оплату через аккредитив в договоре купли-продажи?,Дапродавцу разрешено оговаривать в договоре купли-продажичто оплата должна быть произведена через документарный аккредитив. Это условие является действительным и обязательным для покупателя.
SS(14) - 3/3/1,Постановление Шариата,Разрешено ли взимать комиссию за документарный аккредитив?,Разрешено взимать плату за фактические расходы и за предоставленные услуги (в виде фиксированной суммы или процента от суммы)при условиичто срок действия аккредитива не влияет на размер комиссии.
SS(14) - 3/3/1(a),Постановление Шариата (Ограничение),Можно ли взимать комиссию за предоставление гарантии в рамках аккредитива?,Нетаспект гарантии сам по себе не должен учитываться при расчете комиссий. Недопустимо взимать дополнительную плату за подтверждение аккредитиватак как это является дополнительной гарантией.
SS(14) - 3/3/1(b),Постановление Шариата (Запрет),Можно ли использовать аккредитив для получения процентной прибыли (Риба)?,Нетвыпуск аккредитива не должен включать в себя процентную прибыль (Риба) или становиться средством для ее получения.
SS(14) - 3/3/1(c),Постановление Шариата (Запрет),Можно ли использовать комбинацию договоров в аккредитиве для оправдания запрещенных сделок?,Нетнедопустимо использовать комбинацию договоров как предлог для участия в запрещенных сделкахтаких как взимание комиссии за предоставление гарантии или выдачу кредита.
SS(14) - 3/4/1,Постановление Шариата,Какие виды обеспечения разрешены для документарного аккредитива?,Разрешено использовать различные виды обеспечения (покрытия)включая денежные средствазамораживание счетовоборотные инструментысоответствующие Шариатусертификаты на акции и удержание документов на товар.
SS(14) - 3/4/2,Постановление Шариата (Запрет),Какие виды обеспечения (гарантий) запрещены для документарного аккредитива?,Недопустимо принимать в качестве гарантий процентные облигацииакции компанийзанимающихся запрещенной деятельностьюи дебиторскую задолженностьоснованную на процентах.
SS(14) - 3/4/3,Постановление Шариата,Можно ли инвестировать денежное покрытие по аккредитиву?,Даучреждение и заявитель могут договориться об инвестировании денежного покрытия аккредитива в соответствии с партнерством Мудараба.
SS(14) - 3/5/1,Условие (Мурабаха),Какое условие применяется при использовании аккредитива для финансирования по схеме Мурабаха?,Открытие документарного аккредитива не должно предшествовать заключению договора купли-продажи между заказчиком (покупателем по Мурабаха) и бенефициаром (первоначальным продавцом).
SS(14) - 3/5/2,Условие (Мурабаха),Кто должен выступать покупателем у поставщика в сделке Мурабаха через аккредитив?,Учреждение (банк) должно быть сторонойкоторая покупает товар у поставщикаа затем продает его клиенту через Мурабаха.
SS(14) - 3/6/1,Постановление Шариата (Мушарака),Можно ли банку продать свою долю в товаре партнеру (клиенту) в рамках договора Мушарака?,Дапосле получения товара банк может продать свою долю третьей стороне или своему партнеру через Мурабаха с немедленной или отсроченной оплатойпри условиичто продажа партнеру не основана на предварительных обязывающих обещаниях.
SS(14) - 3/6/2,Постановление Шариата (Мушарака),Можно ли банку продать свою долю партнеру (клиенту) в рассрочку,если товар уже куплен клиентом?Нетесли банк вступает в партнерство в отношении товаровуже купленных клиентомон не может продавать свою долю этому клиенту с отсрочкой платежа.
SS(14) - 3/7/1,Требование (Шариат),Что делать,если аккредитив подчиняется международным правиламтаким как UCP?Необходимо оговоритьчто применение таких правил не должно нарушать нормы и принципы Шариата. Следует прямо заявитьчто положения о процентах или запрещенной торговле применяться не будут.
SS(14) - 3/7/2,Постановление Шариата (Запрет),Разрешено ли исламскому учреждению дисконтировать (учитывать) акцептованные векселя?,Нетне разрешается дисконтировать акцептованные переводные векселято есть покупать их до наступления срока погашения по цене ниже их номинальной стоимости.
SS(14) - 3/7/3,Постановление Шариата (Запрет),Разрешена ли торговля документами с отсрочкой платежа или акцептованными векселями?,Нетучреждению не разрешается торговать такими инструментамипокупая их по цене ниже номинальной стоимостиа также выступать посредником в таких сделках.
SS(14) - 3/7/6,Требование (Шариат),Как исламское учреждение должно строить отношения с банками-корреспондентами?,Отношения должны строиться на основе отказа от выплаты процентов и избегания запрещенных операций при расчетах по межбанковским обязательствамвытекающим из документарных аккредитивов.
Приложение (B),Основа Шариата,На каких шариатских договорах основана дозволенность документарного аккредитива?,На действительных по Шариату договорахтаких как Кафала (поручительство)Вакала (агентский договор) и Кард (заем).
Приложение (B),Юридическое обоснование (Шариат),Какова шариатская классификация безотзывного аккредитива?,Это комбинация договора гарантии (кафала) и агентского договора (вакала). Элемент займа (кард) возникаеткогда учреждение платит от имени клиента по непокрытому аккредитиву.
Приложение (B),Юридическое обоснование (Шариат),Какова шариатская классификация отзывного аккредитива?,Это форма агентского договора (вакала). Он не может быть классифицирован как гарантиятак как это противоречит требованиям договора гарантии.
Приложение (B),Юридическое обоснование (Шариат),Почему запрещено взимать плату за гарантию в рамках аккредитива?,Потому что гарантия является подготовкой к предоставлению займаа за это вознаграждение не полагается. Четыре школы фикха единодушны в недопустимости получения вознаграждения за гарантию.
Приложение (B),Юридическое обоснование (Шариат),Почему разрешено взимать плату за агентские услуги в рамках аккредитива?,Потому что плата взимается за услугиоказанные учреждением в качестве агента клиента. Большинство правоведов (фукаха) поддержали дозволенность взимания платы за агентские услуги.
Приложение (B),Юридическое обоснование (Шариат),Почему запрещена продажа партнеру его доли в товарах с отсрочкой платежа (в некоторых случаях)?,Это приравнивается к сделке обратного выкупа (Бай' аль-Ина)которая запрещена Шариатом.
Приложение (B),Юридическое обоснование (Шариат),Почему запрещена негоциация (дисконт) документов к оплате по предъявлении?,Это принимает форму продажи долгачто запрещено.
Приложение (C),Определение,Что такое аккредитивные документы (Credit Documents)?,Документыотносящиеся к товарууказанному в аккредитиве. Делятся на основные (транспортные документыкоммерческий инвойсстраховой полис) и дополнительные (сертификаты весаанализапроисхождения и т.д.).
Приложение (C),Определение,Что такое коносамент (Bill of Lading)?,Традиционный транспортный документуказывающий сторонууполномоченную на получение товара. Он является практическим исполнением договора перевозки.
Приложение (C),Определение,Что такое аккредитив до востребования (At Sight Credit)?,Аккредитивкоторый подлежит немедленной оплате по предъявлении документовесли они соответствуют условиям аккредитива.
Приложение (C),Определение,Что такое аккредитив с отсрочкой платежа (Deferred Payment Credit)?,Обязательство банка-эмитента или подтверждающего банка произвести платеж в будущую датууказанную в аккредитивепри условии соответствия документов.
Приложение (C),Определение,Что такое акцептный аккредитив (Acceptance Credit)?,Акцепт переводного векселяприложенного к документамбанкомчто означает обязательство банка оплатить его номинальную стоимость в день погашения.
Приложение (C),Определение,Что такое негоциация документов (Negotiation of Documents)?,Оплата стоимости документов или покупка (дисконтирование) приложенного к ним переводного векселя.
Приложение (C),Определение,Что такое акцепт документов с оговоркой ('Under Reserve')?,Ситуациякогда банк решает принять документы на свой страх и рискнесмотря на их несоответствие условиям аккредитива.
Приложение (C),Определение,Что такое морское гарантийное письмо (Marine Letter of Guarantee)?,Обязательство банка-эмитента предоставить перевозчику оригинал коносамента после его получения в обмен на выдачу товара импортеру до прибытия документов.
Приложение (C),Определение,Что такое подтверждение аккредитива (Confirmation of Credit)?,Объединение обязательств подтверждающего банка с обязательствами банка-эмитентав результате чего оба банка несут ответственность за выполнение условий платежа.
Предисловие,Цель стандарта,Какова цель шариатского стандарта по Джу'аля?,"Разъяснить определение Джу'аля, отличить его от Иджара (аренды/найма), описать его элементы, условия, правовой статус в Шариате, основные правила и применение в сделках исламских финансовых институтов."
SS(15) - 1,Сфера применения стандарта,Что регулирует стандарт по Джу'аля?,"Стандарт устанавливает основные правила Шариата по Джу'аля и ее применению в деятельности, где объем требуемой работы не может быть точно определен."
SS(15) - 1,Сфера применения стандарта,Какие договоры не охватываются стандартом по Джу'аля?,"Стандарт не распространяется на договор Иджара (наем/аренда), а также на договоры технического обслуживания или условия об обслуживании в других контрактах, таких как договор купли-продажи или Истисна (договор на строительство)."
SS(15) - 2,Определение,Что такое Джу'аля?,"Джу'аля - это договор, в котором одна сторона (Джа'иль) предлагает определенное вознаграждение (Джу'ль) любому лицу ('Амиль), которое достигнет определенного результата за известный или неизвестный период времени."
SS(15) - 3,Постановление Шариата,Каково постановление Шариата о Джу'аля?,"Джу'аля является дозволенной (допустимой). Определения конечного результата достаточно, и на ее действительность не влияет неопределенность в отношении самой работы."
SS(15) - 4/1,Характеристика,Является ли договор Джу'аля обязывающим?,"В принципе, Джу'аля не является обязывающим договором. Оферент (Джа'иль) или исполнитель ('Амиль) могут расторгнуть его в одностороннем порядке. Однако для оферента он становится обязывающим с момента, когда исполнитель приступает к работе."
SS(15) - 4/1,Условие,Когда Джу'аля становится обязывающей для исполнителя?,"Если исполнитель обязуется не расторгать договор в течение определенного периода, для него становится обязательным придерживаться этого обязательства."
SS(15) - 4/2,Постановление Шариата,Каков статус владения исполнителя ('Амиль) имуществом оферента (Джа'иль)?,"Владение исполнителя имуществом оферента является владением доверенного лица (аманат). Следовательно, он не несет ответственности, за исключением случаев халатности, неправомерных действий или нарушения условий, оговоренных оферентом."
SS(15) - 5,Характеристика,Каковы основные элементы договора Джу'аля?,"Элементами Джу'аля являются: две стороны (оферент и исполнитель), форма договора и предмет договора (вознаграждение и работа)."
SS(15) - 5/1,Условие,Каковы требования к сторонам договора Джу'аля?,Обе стороны должны обладать правоспособностью. Исполнитель не обязательно должен быть конкретизирован; договор может быть заключен путем публичной оферты.
SS(15) - 5/1,Постановление Шариата,Может ли исполнитель привлекать других для выполнения работы?,"Любое лицо, до которого дошла оферта, может выполнить работу самостоятельно или с помощью другого. Если исполнитель указан конкретно, он обязан выполнять работу сам или с явного согласия оферента."
SS(15) - 5/2,Условие,Как заключается договор Джу'аля?,"Договор заключается посредством оферты (устной, письменной или иным способом), адресованной конкретному исполнителю или широкой публике. Акцепт оферты не является обязательным условием для заключения договора."
SS(15) - 5/3/1/1,Применение,Какие виды деятельности могут быть предметом Джу'аля?,"Деятельность, направленная на достижение результата (например, добыча полезных ископаемых); предоставление информации (отчет, исследование); или возврат утерянного имущества."
SS(15) - 5/3/1/2,Постановление Шариата,Можно ли установить срок для выполнения работы в Джу'аля?,"Допустимо оговорить, что работа должна быть выполнена в течение определенного периода, после которого исполнитель не будет иметь права на вознаграждение."
SS(15) - 5/3/1/3,Постановление Шариата,"Что делать, если работа выполнена частично, но приносит пользу оференту?","Если срок истек, а исполнитель выполнил часть работы, которая принесет пользу оференту, исполнитель имеет право на соразмерную оплату (Уджрат аль-Мисль)."
SS(15) - 5/3/1/4,Условие,Действителен ли договор Джу'аля при неопределенности в характере работы?,"Да, договор Джу'аля действителен, несмотря на неопределенность в характере работы, при условии, что требуемый результат, достигаемый работой, определен."
SS(15) - 5/3/1/5,Условие,Требует ли работа в Джу'аля приложения усилий?,"Да, условием является то, что работа должна включать в себя какой-либо вид усилий."
SS(15) - 5/3/1/6,Условие,Может ли работа быть обязательной для исполнителя?,"Нет, условием является то, что работа не должна быть и так обязательной для исполнителя."
SS(15) - 5/3/2/1,Условие,Каковы требования к вознаграждению в Джу'аля?,"Вознаграждение должно быть известным, иметь ценность с точки зрения Шариата и быть доставимым. Если оно неизвестно, незаконно или недоставимо, становится обязательной выплата соразмерного вознаграждения."
SS(15) - 5/3/2/2,Постановление Шариата,Может ли вознаграждение быть частью объекта работы?,"Да, вознаграждение может быть частью объекта работы, например, процент от взысканного долга или право на использование проекта в течение определенного периода."
SS(15) - 5/3/2/3,Условие,Когда исполнитель получает право на вознаграждение?,"Как правило, право на вознаграждение возникает только после завершения работы и сдачи результата оференту."
SS(15) - 5/3/2/4,Постановление Шариата,Допускается ли авансовая выплата вознаграждения?,"Да, можно оговорить, что все вознаграждение или его часть выплачивается авансом. Однако оно считается ""подотчетным"", и оферент имеет право потребовать его возврата, если работа не будет выполнена."
SS(15) - 6/1,Постановление Шариата,"Что происходит, если договор Джу'аля расторгнут до начала работы?","Если оферент или исполнитель расторгает договор до начала работы, исполнитель не имеет права на вознаграждение."
SS(15) - 6/2,Постановление Шариата,"Что происходит, если оферент мешает исполнителю после начала работы?","Если оферент мешает исполнителю работать после начала работы, оферент обязан выплатить соразмерную оплату."
SS(15) - 6/3,Постановление Шариата,"Что происходит, если исполнитель расторгает договор после начала работы?","Если договор Джу'аля расторгается исполнителем после начала работы, исполнитель не имеет права на вознаграждение, если стороны не договорились об ином."
SS(15) - 7,Различие,В чем основные отличия Джу'аля от Иджара (аренды/найма)?,"Джу'аля действительна при неопределенности объема работы, не требует акцепта, вознаграждение зависит от результата, может быть заключена с неизвестной стороной и является расторжимой. Иджара требует определенности, акцепта, оплата привязана к услуге/времени, заключается с известной стороной и является обязывающим договором."
SS(15) - 8/1,Применение,Как Джу'аля применяется для разведки полезных ископаемых?,"Джу'аля может использоваться для разведки полезных ископаемых или добычи воды, где право на вознаграждение зависит от нахождения ископаемых или воды, без привязки ко времени или периоду."
SS(15) - 8/2,Применение,Как Джу'аля применяется для взыскания долгов?,"Джу'аля используется для взыскания долгов, где право на вознаграждение зависит от взыскания всего долга (полное вознаграждение) или его части (пропорциональное вознаграждение)."
SS(15) - 8/3,Применение,Как Джу'аля применяется для обеспечения финансирования?,"Исполнитель совершает работу, которая приводит к тому, что финансовое учреждение соглашается предоставить финансирование оференту или организовать синдицированное финансирование. Предмет Джу'аля должен быть дозволенным (например, Мурабаха, Иджара, беспроцентный заем)."
SS(15) - 8/4,Применение,Как Джу'аля применяется в брокерской деятельности?,"Джу'аля используется в брокерской деятельности, когда право на вознаграждение зависит от заключения контракта, для которого осуществляется посредничество."
SS(15) - 8/5,Применение,Как Джу'аля применяется в сфере открытий и изобретений?,"Джу'аля используется для вознаграждения за научные открытия, инновационные изобретения и дизайн, где право на вознаграждение зависит от реализации открытия, регистрации патента или создания дизайна в соответствии с условиями оферента."
SS(15) - 9/1,Постановление Шариата,Может ли финансовое учреждение выступать в качестве исполнителя по договору Джу'аля?,"Да, учреждение может выступать в качестве исполнителя ('Амиль). Оно может выполнять работу самостоятельно или передать ее по другому (параллельному) договору Джу'аля, если нет условия о личном исполнении. Два договора Джу'аля не должны быть связаны."
SS(15) - 9/2,Постановление Шариата,Может ли финансовое учреждение выступать в качестве оферента по договору Джу'аля?,"Да, учреждение может выступать в качестве оферента (Джа'иль), будь то для собственной выгоды или для выполнения своих обязательств по другому (параллельному) договору Джу'аля, при условии, что два договора не связаны."
Приложение (B),Основа Шариата / Коран,Каково шариатское основание дозволенности Джу'аля в Коране?,"Доказательство содержится в истории пророка Йусуфа (мир ему), когда было объявлено о вознаграждении (вьюк верблюда) за возвращение чаши царя. (Сура ""Йусуф"", аят 72)."
Приложение (B),Основа Шариата / Сунна,Каково шариатское основание дозволенности Джу'аля в Сунне?,Доказательством является хадис от Абу Са'ида аль-Худри об условии вознаграждения (Джу'ль) за исцеление вождя племени и молчаливое одобрение этого Пророком (мир ему и благословение).
Приложение (B),Основа Шариата / Иджма,Существует ли консенсус ученых (Иджма) по поводу Джу'аля?,"Существует Иджма (консенсус факихов) относительно сущности договора Джу'аля, хотя есть некоторые разногласия по поводу его сферы применения (например, ограничение его вознаграждением за возвращение сбежавшего раба)."
Приложение (B),Основа Шариата / Иджтихад,Каково обоснование дозволенности Джу'аля с точки зрения Иджтихада (рационального вывода)?,"Существует общая потребность в Джу'аля для действий, которые человек не может выполнить сам и для которых не может найти добровольца. Она подходит для случаев, где Иджара не применима, например, для возврата утерянного имущества из неизвестного места."
Приложение (B),Юридическое обоснование,"На чем основан принцип, что Джу'аля не является обязывающим договором?","Для оферента она похожа на завещание (bequest), которое не является обязывающим, так как выплата зависит от условия. Для исполнителя она похожа на Мудараба, которая не является обязывающей из-за неопределенности работы."
Приложение (B),Юридическое обоснование,Почему Джу'аля становится обязывающей после начала работы?,"На этом этапе Джу'аля становится похожей на Мудараба, когда Мудариб уже начал работу. Одностороннее расторжение привело бы к потере усилий работника или к возможному ущербу для оферента."
Приложение (B),Юридическое обоснование,Почему разрешено привлекать помощников для выполнения работы?,"Основание в том, что Джу'аля похожа на договор поручения (agency), в котором разрешено привлекать помощь других лиц, если не оговорено личное исполнение."
Приложение (B),Юридическое обоснование,Почему в Джу'аля допускается неопределенность в объеме работы?,"Основанием является общая потребность в таких договорах, а также невозможность точно определить объем работы в некоторых случаях."
Приложение (B),Юридическое обоснование,"Почему вознаграждение может быть частью предмета договора (например, % от долга)?","Это тип неопределенности, который не препятствует исполнению и не содержит чрезмерного Гарара (неопределенности), поскольку право на вознаграждение не возникает до тех пор, пока задача не будет выполнена."
